umap_component_1,umap_component_2,umap_component_3,mental_health_risk_score
-4.4746428,5.4296727,8.640601,2
-1.5376378,0.32457274,-13.621396,2
9.516206,4.007634,-5.0470495,1
11.2013645,18.767,13.545134,1
-1.5130059,0.34443265,-13.608532,2
-3.094204,11.533307,22.605227,2
2.30395,-5.6701393,26.139807,2
11.165186,-5.2226677,9.917579,1
14.412308,-0.41676724,9.12009,1
11.169633,-5.2182603,9.913019,1
-4.540025,5.603134,8.528248,2
-4.7323403,14.269574,-0.0395398,2
17.096054,6.810439,5.8253164,0
19.900326,-4.6166553,8.084024,1
1.8846977,-16.062075,1.2392728,2
16.997272,-1.8494757,17.55171,1
17.102152,-1.7275519,17.538374,1
2.382334,-5.7587476,26.061432,2
17.100424,6.8092775,5.8343935,0
6.480405,2.267344,13.544652,2
2.2765193,-5.6449676,26.16734,2
-1.3227259,0.12517327,-13.319658,2
-3.164369,11.586873,22.639341,2
17.070957,-1.7941132,17.572872,1
11.599691,-0.818097,-8.864485,1
-3.0574367,11.5368595,22.634024,2
17.483063,7.376471,6.4151125,0
14.3946705,-0.44855845,9.178909,1
14.4871435,-0.39455503,9.146264,1
10.856638,-8.962541,2.4126017,1
-4.830514,5.667183,8.574777,2
1.8219271,-16.019997,1.2823833,2
18.506794,-7.634167,-4.6304727,1
-10.512533,-6.7592916,12.769783,2
-4.8072615,5.7716985,8.489692,2
-3.0418146,11.523201,22.66872,2
2.5112538,-4.242803,13.110937,2
-10.496022,-6.7427726,12.753276,2
2.0221426,-16.044245,1.3749784,2
-4.7798305,5.754303,8.5181465,2
-4.706103,14.297717,-0.065906405,2
-1.4269019,0.20843126,-13.335501,2
18.498362,-7.6257305,-4.6388845,1
25.756237,0.44279444,2.4545991,1
-1.3595171,0.20452966,-13.427382,2
-14.657996,-7.881541,-3.4697495,2
11.558133,-0.82282054,-8.888031,1
-14.507551,-7.7758207,-3.494812,2
25.762918,0.44812024,2.4598222,1
-4.9049764,5.1042542,8.662767,2
-1.2266163,0.51791376,-13.321129,2
